Peak Coordinates,Length,TSSGenomicPosition,NearestTSS,DistanceToTSS,Proximal/Distal,AveragePrenatal,AverageInfant,AverageOld,LogRatio,Ttest,Direction
chr11:133819832-133827861,8029,133826880,IGSF9B,0,Proximal,0.012293187,0.016903438,0.02641059,-1.044046369,1.89E-05,Up
chr11:35546647-35548153,1506,35547176,PAMR1,0,Proximal,0.002017532,0.006179429,0.013686736,-2.283073103,2.34E-13,Up
chr11:46368266-46374850,6584,46368955,DGKZ,0,Proximal,0.011729993,0.019796675,0.025676939,-1.067361509,1.48E-09,Up
chr11:46382489-46385978,3489,46383144,DGKZ,0,Proximal,0.001593854,0.004134662,0.013917617,-2.523848163,4.56E-11,Up
chr11:57281471-57283899,2428,57283192,SLC43A1,0,Proximal,0.00541022,0.010301138,0.017609489,-1.537592628,1.33E-06,Up
chr11:66789566-66792646,3080,66790189,SYT12,0,Proximal,0.009007258,0.015332236,0.028765636,-1.572601019,1.94E-12,Up
chr11:67070176-67072500,2324,67070918,SSH3,0,Proximal,0.009855269,0.011762017,0.021709094,-1.064874664,1.14E-07,Up
chr11:70503157-70509360,6203,70507923,SHANK2,0,Proximal,0.008425657,0.016448284,0.026146782,-1.526116158,3.64E-06,Up
chr11:8679193-8680812,1619,8680383,TRIM66,0,Proximal,0.004464941,0.006519471,0.011264569,-1.166218744,0.000702905,Up
chr12:108522345-108527737,5392,108523510,WSCD2,0,Proximal,0.01429497,0.025326374,0.03126246,-1.076799128,0.006012023,Up
chr12:113375772-113376833,1061,113376248,OAS3,0,Proximal,0.008446764,0.016272152,0.017989258,-1.007291441,0.00131072,Up
chr12:117316049-117320114,4065,117319232,HRK,0,Proximal,0.006652819,0.013888742,0.020853177,-1.513779869,3.43E-09,Up
chr12:117534605-117537775,3170,117537251,TESC,0,Proximal,0.007099752,0.010987679,0.021026797,-1.44331009,3.30E-07,Up
chr12:119616214-119620130,3916,119616594,HSPB8,0,Proximal,0.001651495,0.003898047,0.017042457,-2.76651802,6.34E-15,Up
chr12:120031107-120033394,2287,120031263,TMEM233,0,Proximal,0.007594763,0.010579874,0.016839846,-1.053573452,0.000675991,Up
chr12:121077320-121082546,5226,121078421,CABP1,0,Proximal,0.011878615,0.022736276,0.03061065,-1.295433232,0.000241895,Up
chr12:121086700-121090146,3446,121088370,CABP1,0,Proximal,0.002218561,0.003671594,0.011497137,-1.957109846,2.11E-09,Up
chr12:121570300-121571967,1667,121570621,P2RX7,0,Proximal,0.009529221,0.019099529,0.021354672,-1.086177632,0.002564487,Up
chr12:128750818-128754281,3463,128751947,TMEM132C,0,Proximal,0.007036542,0.010767738,0.016064901,-1.086385169,6.65E-07,Up
chr12:132902912-132907900,4988,132905905,GALNT9,0,Proximal,0.006293193,0.014164137,0.035195488,-2.311187328,9.89E-15,Up
chr12:52399554-52404518,4964,52400747,GRASP,0,Proximal,0.005489911,0.01371855,0.022679653,-1.867377258,3.44E-18,Up
chr12:52443818-52448746,4928,52445190,NR4A1,0,Proximal,0.006837406,0.016418564,0.020964303,-1.486712656,2.22E-09,Up
chr12:6449420-6451649,2229,6451283,TNFRSF1A,0,Proximal,0.003182898,0.004841931,0.015103598,-1.94480837,2.54E-11,Up
chr12:75723320-75724414,1094,75723836,CAPS2,0,Proximal,0.018523553,0.031074237,0.039283264,-1.044964916,1.57E-06,Up
chr13:36427041-36430221,3180,36429998,DCLK1,0,Proximal,0.003571582,0.007622902,0.011061692,-1.399666862,0.001650849,Up
chr13:37247409-37250609,3200,37248048,C13orf36,0,Proximal,0.017227604,0.037311104,0.037260727,-1.069739323,0.009657222,Up
chr13:47465609-47472830,7221,47471169,HTR2A,0,Proximal,0.01087841,0.015772489,0.023951796,-1.070802009,0.003191697,Up
chr14:102974570-102976884,2314,102976128,ANKRD9,0,Proximal,0.009345855,0.016135747,0.022229175,-1.166885005,0.001949002,Up
chr14:24630269-24631828,1559,24630421,IRF9,0,Proximal,0.004818435,0.017635932,0.015109187,-1.469180694,8.12E-05,Up
chr14:61187717-61191356,3639,61190852,SIX4,0,Proximal,0.009166166,0.015460721,0.0287567,-1.549438883,8.14E-09,Up
chr14:94639722-94643106,3384,94640648,PPP4R4,0,Proximal,0.013015157,0.028339573,0.031000785,-1.191119439,8.15E-05,Up
chr15:41785151-41789503,4352,41786121,ITPKA,0,Proximal,0.007543157,0.021262475,0.03100103,-1.905277222,2.21E-17,Up
chr15:79574205-79577279,3074,79575145,ANKRD34C,0,Proximal,0.016676484,0.034040193,0.036585161,-1.088331873,0.00254888,Up
chr15:81071062-81074329,3267,81071711,KIAA1199,0,Proximal,0.006366236,0.024362322,0.039416586,-2.455948013,1.75E-16,Up
chr15:83236984-83241438,4454,83240573,CPEB1,0,Proximal,0.008387936,0.01779774,0.027388416,-1.596422489,3.71E-05,Up
chr16:1382858-1387160,4302,1386197,BAIAP3,0,Proximal,0.004035723,0.007024662,0.014676861,-1.638365799,1.25E-09,Up
chr16:2197823-2200553,2730,2198650,RAB26,0,Proximal,0.009801412,0.01704728,0.023437214,-1.177859867,9.94E-13,Up
chr16:4985548-4987767,2219,4987136,PPL,0,Proximal,0.00600607,0.01206055,0.020256067,-1.601197505,2.15E-05,Up
chr16:5007239-5011117,3878,5008317,SEC14L5,0,Proximal,0.012092822,0.01708982,0.036818195,-1.530304414,1.63E-17,Up
chr16:57405772-57409473,3701,57406413,CX3CL1,0,Proximal,0.031459698,0.067046839,0.064920618,-1.022080188,0.006821576,Up
chr16:57661747-57665574,3827,57662418,GPR56,0,Proximal,0.001923142,0.003827418,0.012537556,-2.211375279,4.20E-12,Up
chr16:66877817-66880603,2786,66878840,CA7,0,Proximal,0.0063494,0.019254967,0.033470519,-2.229664628,1.00E-19,Up
chr17:16318483-16320152,1669,16318855,TRPV2,0,Proximal,0.007165335,0.009259764,0.01714226,-1.151770183,3.26E-07,Up
chr17:1664862-1667306,2444,1665258,SERPINF1,0,Proximal,0.004204901,0.018168375,0.023612199,-2.241431066,8.35E-05,Up
chr17:17396623-17400783,4160,17399709,RASD1,0,Proximal,0.015974785,0.022698135,0.037243282,-1.171813071,2.79E-07,Up
chr17:19436513-19438079,1566,19437166,SLC47A1,0,Proximal,0.005502078,0.013528102,0.017630864,-1.518721766,1.05E-06,Up
chr17:26939876-26941451,1575,26941211,SGK494,0,Proximal,0.00121682,0.011683755,0.014227326,-2.780098826,4.03E-14,Up
chr17:2698804-2701473,2669,2699731,RAP1GAP2,0,Proximal,0.00186342,0.002635254,0.010925362,-2.05822197,3.46E-08,Up
chr17:36827988-36831627,3639,36831187,C17orf96,0,Proximal,0.008476535,0.014201546,0.019428118,-1.108124735,7.31E-07,Up
chr17:37380106-37382781,2675,37382040,STAC2,0,Proximal,0.008271491,0.013886032,0.023546569,-1.40464805,4.90E-07,Up
chr17:38473944-38476801,2857,38474472,RARA,0,Proximal,0.006068925,0.009644741,0.01329194,-1.015638957,6.74E-09,Up
chr17:39889446-39891646,2200,39890898,HAP1,0,Proximal,0.004361821,0.009738292,0.011348618,-1.203554585,0.003129666,Up
chr17:58226925-58228971,2046,58227301,CA4,0,Proximal,0.002641589,0.006054526,0.020443309,-2.557887333,1.70E-14,Up
chr17:72666705-72669123,2418,72667255,RAB37,0,Proximal,0.009618778,0.011637203,0.024424709,-1.259613569,1.27E-05,Up
chr17:72888289-72890379,2090,72889705,FADS6,0,Proximal,0.013144632,0.015842891,0.030410814,-1.151006711,2.08E-08,Up
chr17:75315136-75317586,2450,75315596,9-Sep,0,Proximal,0.003848909,0.009471731,0.02220579,-2.258752565,1.08E-10,Up
chr17:75368501-75371457,2956,75369271,9-Sep,0,Proximal,0.016073382,0.021182554,0.036872002,-1.14938282,0.00061136,Up
chr17:78444209-78452722,8513,78450404,NPTX1,0,Proximal,0.013749116,0.021650348,0.029295775,-1.03848816,0.000355857,Up
chr18:14747126-14749045,1919,14748238,ANKRD30B,0,Proximal,0.002013105,0.006738624,0.019084733,-2.736776633,3.95E-12,Up
chr18:44333567-44338455,4888,44337039,ST8SIA5,0,Proximal,0.018411467,0.028100912,0.043075993,-1.183083885,0.000463955,Up
chr18:55862173-55865445,3272,55862636,NEDD4L,0,Proximal,0.007798627,0.014475439,0.018833797,-1.172610602,6.78E-06,Up
chr19:1131203-1132730,1527,1132273,SBNO2,0,Proximal,0.002985867,0.003619067,0.012620459,-1.772809855,5.10E-06,Up
chr19:18117839-18121643,3804,18118976,ARRDC2,0,Proximal,0.005425279,0.007466329,0.014461176,-1.266819103,4.24E-07,Up
chr19:18208392-18211087,2695,18208602,MAST3,0,Proximal,0.001889435,0.026571742,0.046654217,-4.043744763,2.20E-23,Up
chr19:18284231-18285413,1182,18284578,IFI30,0,Proximal,0.003311082,0.006479435,0.010758007,-1.44752153,2.24E-06,Up
chr19:19371620-19374370,2750,19373596,HAPLN4,0,Proximal,0.005384164,0.00676352,0.015426874,-1.36348826,1.53E-07,Up
chr19:19639468-19642060,2592,19639669,YJEFN3,0,Proximal,0.009955277,0.01853021,0.026945073,-1.350967977,8.59E-07,Up
chr19:2474565-2479179,4614,2476122,GADD45B,0,Proximal,0.007071458,0.012012881,0.027582986,-1.824255515,8.09E-14,Up
chr19:2700561-2703315,2754,2702746,GNG7,0,Proximal,0.00724178,0.01737244,0.019837295,-1.338140096,6.97E-05,Up
chr19:3365522-3370523,5001,3366572,NFIC,0,Proximal,0.003247389,0.00670456,0.012467101,-1.664791302,1.16E-10,Up
chr19:35520602-35525115,4513,35521591,SCN1B,0,Proximal,0.006878328,0.010527093,0.016444103,-1.146778057,1.49E-06,Up
chr19:35629734-35632223,2489,35630391,FXYD1,0,Proximal,0.008536654,0.011897965,0.01886463,-1.058646871,0.002778482,Up
chr19:36000176-36001742,1566,36001412,DMKN,0,Proximal,0.001797643,0.003094058,0.012912605,-2.31410862,1.66E-08,Up
chr19:36641926-36644023,2097,36643771,COX7A1,0,Proximal,0.007704865,0.014569306,0.016898525,-1.039946983,0.007461008,Up
chr19:41933469-41934745,1276,41934635,B3GNT8,0,Proximal,0.002686859,0.003033553,0.010790002,-1.677099952,1.61E-06,Up
chr19:45995757-45997015,1258,45996474,RTN2,0,Proximal,0.007994416,0.01207836,0.0173496,-1.028647094,7.41E-05,Up
chr19:48216378-48217575,1197,48216600,EHD2,0,Proximal,0.00109558,0.00938817,0.015238517,-2.95399854,2.77E-15,Up
chr19:50706266-50707755,1489,50706884,MYH14,0,Proximal,0.002565947,0.004868236,0.010817024,-1.72850948,1.43E-09,Up
chr19:51016242-51018573,2331,51017142,ASPDH,0,Proximal,0.014890107,0.033830823,0.047691217,-1.615532716,1.25E-05,Up
chr19:7980265-7986972,6707,7985193,SNAPC2,0,Proximal,0.00992354,0.019346352,0.028483778,-1.432480901,1.15E-11,Up
chr2:10218150-10221275,3125,10220538,CYS1,0,Proximal,0.00388987,0.00863949,0.013766255,-1.594435957,5.59E-09,Up
chr2:11269589-11274863,5274,11273178,C2orf50,0,Proximal,0.003557063,0.00549958,0.014806242,-1.794318168,4.38E-06,Up
chr2:113189193-113191252,2059,113191107,RGPD5,0,Proximal,0.004480993,0.006924127,0.011051197,-1.136667178,0.002827765,Up
chr2:152827515-152830795,3280,152830485,CACNB4,0,Proximal,0.008403965,0.013478819,0.018552093,-1.055981959,0.001699088,Up
chr2:163174304-163175693,1389,163175039,IFIH1,0,Proximal,0.003333692,0.007752873,0.011331527,-1.508682805,1.36E-07,Up
chr2:192014861-192016329,1468,192015925,STAT4,0,Proximal,0.012965705,0.015945704,0.029032795,-1.10465038,0.000463082,Up
chr2:220116172-220119698,3526,220117964,TUBA4B,0,Proximal,0.010685559,0.041620643,0.054371836,-2.244425647,0.000381051,Up
chr2:223535861-223537288,1427,223536456,MOGAT1,0,Proximal,0.004680907,0.010940743,0.012491978,-1.247908782,0.000193952,Up
chr2:238767490-238769734,2244,238768186,RAMP1,0,Proximal,0.004018536,0.007430767,0.014233523,-1.601911061,9.70E-06,Up
chr2:33700750-33701928,1178,33701320,RASGRP3,0,Proximal,0.002907301,0.007514155,0.010150292,-1.512837006,6.02E-09,Up
chr2:65592004-65594113,2109,65593931,SPRED2,0,Proximal,0.000486342,0.002972754,0.010942021,-3.00620929,6.93E-13,Up
chr2:95961986-95966233,4247,95963071,KCNIP3,0,Proximal,0.010089578,0.020412195,0.023234439,-1.127854168,0.00148264,Up
chr2:99548509-99554020,5511,99552684,C2orf55,0,Proximal,0.008436948,0.015038793,0.020770201,-1.205962448,7.56E-06,Up
chr20:11898355-11902551,4196,11898564,BTBD3,0,Proximal,0.002297924,0.009129983,0.012372175,-2.019604111,7.88E-05,Up
chr20:1293257-1294523,1266,1294317,SDCBP2,0,Proximal,0.008657237,0.014763499,0.019537054,-1.088546927,8.12E-12,Up
chr20:43728190-43730133,1943,43729753,KCNS1,0,Proximal,0.001733097,0.001869878,0.014649305,-2.517490193,1.03E-09,Up
chr20:48806468-48811120,4652,48807375,CEBPB,0,Proximal,0.018424414,0.026706628,0.03825454,-1.014988421,5.18E-09,Up
chr20:51588304-51592492,4188,51588945,TSHZ2,0,Proximal,0.006545323,0.012291898,0.01426799,-1.016855546,1.15E-12,Up
chr20:57581056-57582798,1742,57582309,CTSZ,0,Proximal,0.003368883,0.004446849,0.010692481,-1.420244758,1.12E-05,Up
chr21:42797594-42799279,1685,42798102,MX1,0,Proximal,0.005449067,0.010309561,0.014081207,-1.225589479,0.006654469,Up
chr21:47401617-47403396,1779,47401662,COL6A1,0,Proximal,0.005841475,0.004174164,0.01313631,-1.047026205,0.000858314,Up
chr22:18592742-18595100,2358,18593452,TUBA8,0,Proximal,0.013444621,0.02206882,0.037849097,-1.427348723,1.05E-15,Up
chr22:21318817-21320321,1504,21319417,AIFM3,0,Proximal,0.003163282,0.005092216,0.010838799,-1.507729664,4.03E-07,Up
chr22:36632583-36636187,3604,36635689,APOL2,0,Proximal,0.001010065,0.002579537,0.019071091,-3.319805125,5.80E-12,Up
chr22:38035098-38037074,1976,38035683,SH3BP1,0,Proximal,0.00154571,0.006163273,0.014868166,-2.639995672,9.91E-13,Up
chr22:41074646-41077519,2873,41075181,MCHR1,0,Proximal,0.007048855,0.018210574,0.03522033,-2.169944166,2.51E-07,Up
chr22:41762472-41765969,3497,41763391,TEF,0,Proximal,0.007886066,0.023571811,0.028646209,-1.738230886,0.00029308,Up
chr22:44286623-44288420,1797,44287893,PNPLA5,0,Proximal,0.004883234,0.009736234,0.014562449,-1.403387889,8.15E-10,Up
chr22:45603935-45609432,5497,45608347,C22orf9,0,Proximal,0.002689207,0.006337515,0.020035512,-2.511444208,9.28E-13,Up
chr22:48026359-48029510,3151,48027318,FLJ46257,0,Proximal,0.001037878,0.000964733,0.017773378,-3.203548756,1.74E-13,Up
chr3:11195541-11199589,4048,11196213,HRH1,0,Proximal,0.006924861,0.012159903,0.016650704,-1.155268108,2.92E-09,Up
chr3:11608907-11610804,1897,11610398,VGLL4,0,Proximal,0.001239214,0.003616892,0.014652613,-2.805339141,1.49E-14,Up
chr3:122399201-122400203,1002,122399671,PARP14,0,Proximal,0.004272422,0.013106164,0.010361339,-1.107595261,6.44E-10,Up
chr3:123813119-123815591,2472,123813557,KALRN,0,Proximal,0.00157841,0.005798274,0.013028895,-2.44384781,1.77E-10,Up
chr3:127390750-127394108,3358,127391780,ABTB1,0,Proximal,0.00602238,0.01593329,0.022486011,-1.741769638,3.48E-12,Up
chr3:138152811-138155093,2282,138153414,ESYT3,0,Proximal,0.011764046,0.014075904,0.026677661,-1.116636356,1.97E-05,Up
chr3:146261566-146262871,1305,146262628,PLSCR1,0,Proximal,0.0164912,0.029429198,0.041001597,-1.263814863,1.09E-17,Up
chr3:159557237-159561102,3865,159557649,SCHIP1,0,Proximal,0.009751939,0.015754605,0.020652238,-1.00991929,0.001419984,Up
chr3:16551099-16558141,7042,16555222,RFTN1,0,Proximal,0.006298019,0.012950549,0.023795527,-1.764503064,1.30E-05,Up
chr3:197806666-197808913,2247,197807542,LOC348840,0,Proximal,0.015657364,0.027203381,0.032699906,-1.016584419,0.000113312,Up
chr3:39191764-39195715,3951,39195102,CSRNP1,0,Proximal,0.012008754,0.024861572,0.029690362,-1.238302933,5.83E-05,Up
chr3:42302785-42308106,5321,42307662,CCK,0,Proximal,0.010246884,0.01708946,0.028011382,-1.367093668,0.00022947,Up
chr3:42542645-42546298,3653,42544103,VIPR1,0,Proximal,0.005159001,0.015449494,0.023567938,-1.996008446,6.29E-18,Up
chr3:42742277-42744681,2404,42744319,HHATL,0,Proximal,0.001130639,0.005255727,0.016104783,-3.005041718,9.40E-14,Up
chr3:66021076-66025676,4600,66024509,MAGI1,0,Proximal,0.013945405,0.024052424,0.031096644,-1.102720472,4.45E-05,Up
chr3:9745096-9747107,2011,9745509,CPNE9,0,Proximal,0.007170172,0.015126533,0.022570393,-1.528537534,0.00014015,Up
chr4:102711538-102712636,1098,102711763,BANK1,0,Proximal,0.004079856,0.007421061,0.012587168,-1.419385332,7.09E-07,Up
chr4:119809589-119812736,3147,119809995,SYNPO2,0,Proximal,0.00783873,0.013997281,0.017880362,-1.09497547,0.0001463,Up
chr4:122684669-122687957,3288,122685739,LOC100192379,0,Proximal,0.005695005,0.012178547,0.020867985,-1.707663159,0.001144556,Up
chr4:140586522-140588061,1539,140586921,MGST2,0,Proximal,0.008209764,0.016523085,0.020985278,-1.255301612,0.004230978,Up
chr4:144620866-144623147,2281,144621828,FREM3,0,Proximal,0.007919927,0.020223929,0.021063734,-1.306573093,8.50E-05,Up
chr4:75718623-75720207,1584,75719882,BTC,0,Proximal,0.005321068,0.014910871,0.021303849,-1.819052517,0.000192155,Up
chr4:75857725-75860674,2949,75858284,PARM1,0,Proximal,0.017089242,0.033292717,0.038560556,-1.128930765,0.000127991,Up
chr4:84456286-84458424,2138,84457652,AGPAT9,0,Proximal,0.015384366,0.025671266,0.032925648,-1.050056493,4.14E-07,Up
chr4:89299614-89300825,1211,89299890,HERC6,0,Proximal,0.021645252,0.042056007,0.048757119,-1.135694357,9.60E-08,Up
chr4:89743222-89745146,1924,89744402,FAM13A,0,Proximal,0.004154303,0.003976465,0.010926902,-1.210370218,0.000291121,Up
chr5:10563052-10568330,5278,10564434,ANKRD33B,0,Proximal,0.014472788,0.022423735,0.034568471,-1.200865764,0.0003348,Up
chr5:139026421-139033494,7073,139028300,CXXC5,0,Proximal,0.011102167,0.021568645,0.030813095,-1.394355392,1.69E-08,Up
chr5:140868073-140872712,4639,140868807,PCDHGC5,0,Proximal,0.005180121,0.018027589,0.034975673,-2.541314649,2.04E-17,Up
chr5:148032408-148034517,2109,148033739,HTR4,0,Proximal,0.006161079,0.013227279,0.023781769,-1.791030251,7.46E-18,Up
chr5:149533706-149535900,2194,149535422,PDGFRB,0,Proximal,0.001362401,0.001566546,0.010044126,-2.224953526,8.72E-08,Up
chr5:149569180-149571165,1985,149569519,SLC6A7,0,Proximal,0.012011958,0.01659817,0.032174954,-1.35025636,0.000550775,Up
chr5:149661441-149670479,9038,149669403,CAMK2A,0,Proximal,0.019325068,0.033627466,0.040094116,-1.015671672,0.011924626,Up
chr5:150019469-150023392,3923,150020206,SYNPO,0,Proximal,0.001097869,0.005429071,0.017737006,-3.158893877,8.24E-17,Up
chr5:150602874-150603945,1071,150603654,CCDC69,0,Proximal,0.005879445,0.014220042,0.014701761,-1.190562204,0.005122119,Up
chr5:159342801-159347759,4958,159343739,ADRA1B,0,Proximal,0.004566807,0.008285548,0.014474401,-1.474961617,1.48E-08,Up
chr5:176784436-176785925,1489,176784843,RGS14,0,Proximal,0.003306846,0.010141356,0.015854538,-1.968433535,2.49E-13,Up
chr5:95766498-95769490,2992,95767863,PCSK1,0,Proximal,0.015764844,0.028288088,0.035058982,-1.104919644,0.000545296,Up
chr6:105626785-105628529,1744,105627858,POPDC3,0,Proximal,0.010907227,0.013021634,0.023955206,-1.067503377,0.009630981,Up
chr6:110677682-110680052,2370,110679475,C6orf186,0,Proximal,0.004715297,0.00716492,0.011385273,-1.115725159,7.77E-07,Up
chr6:112574195-112576098,1903,112575828,LAMA4,0,Proximal,0.010495119,0.023815331,0.024768568,-1.164590999,5.21E-09,Up
chr6:1310975-1314831,3856,1312674,FOXQ1,0,Proximal,0.004834168,0.011797518,0.013780183,-1.341065175,3.46E-05,Up
chr6:155537585-155541854,4269,155538096,TIAM2,0,Proximal,0.002329875,0.00401881,0.011573737,-1.91687353,6.46E-16,Up
chr6:158437702-158440928,3226,158438079,SYNJ2,0,Proximal,0.001821969,0.003394964,0.019143776,-2.835560335,1.61E-13,Up
chr6:166397994-166403209,5215,166401527,C6orf176,0,Proximal,0.012462386,0.029239052,0.038491218,-1.552597759,5.13E-10,Up
chr6:29690651-29692456,1805,29691116,HLA-F,0,Proximal,0.003490049,0.010589051,0.015019731,-1.83504674,9.18E-14,Up
chr6:31743931-31745663,1732,31745108,C6orf27,0,Proximal,0.001775317,0.002380374,0.012400664,-2.271579803,1.28E-10,Up
chr6:84221509-84222638,1129,84222193,PRSS35,0,Proximal,0.004556716,0.007680648,0.010158481,-1.005836131,0.029412767,Up
chr7:151509861-151512626,2765,151511957,PRKAG2,0,Proximal,0.009067248,0.012559592,0.021119675,-1.135660845,0.009452292,Up
chr7:63505661-63507238,1577,63505820,ZNF727,0,Proximal,0.003726325,0.002451508,0.018990385,-2.080515624,0.001153219,Up
chr7:73036881-73039252,2371,73038870,MLXIPL,0,Proximal,0.002541297,0.006711883,0.035570887,-3.368345822,1.86E-13,Up
chr7:98245570-98249708,4138,98246596,NPTX2,0,Proximal,0.007942166,0.01570229,0.020052327,-1.235283437,1.47E-09,Up
chr8:143691848-143700405,8557,143695833,ARC,0,Proximal,0.006709861,0.015355886,0.03012574,-2.013331331,1.75E-11,Up
chr8:143856548-143859555,3007,143858744,LYNX1,0,Proximal,0.020070053,0.02989887,0.042611697,-1.049521196,9.49E-10,Up
